SampleType,Genus
OB29,Tolumonas
OB29,Paramoritella
OB29,Pseudoalteromonas
OB29,Labilibaculum
OB29,Phocaeicola
OB29,Prevotella
OB29,Bradymonas
OB29,Bordetella
OB29,Comamonas
OB29,Massilia
OB29,Pelomonas
OB29,Poseidonibacter
OB29,Pseudarcobacter
OB29,Candidatus Hydrogenedens
OB29,Asprobacter
OB29,Caulobacter
OB29,Phenylobacterium
OB29,Ferruginibacter
OB29,Flavitalea
OB29,Butyricicoccus
OB29,Phocea
OB29,Ruminococcus2
OB29,Coprothermobacter
OB29,Yersinia
OB29,Algibacter
OB29,Chryseobacterium
OB29,Eudoraea
OB29,Pseudofulvibacter
OB29,Taeania
OB29,Vicingus
OB29,Fusobacterium
OB29,Propionigenium
OB29,Gp23
OB29,Gp5
OB29,Methylobacter
OB29,Aurantimicrobium
OB29,Rhodoluna
OB29,Micropepsis
OB29,Georgfuchsia
OB29,Methylophilus
OB29,Marinomonas
OB29,Cephaloticoccus
OB29,Lacunisphaera
OB29,Lacipirellula
OB29,Rhodopirellula
OB29,Schlesneria
OB29,Ancylobacter
OB29,Hyphomicrobium
OB29,Methyloceanibacter
OB29,Methylocystis
OB29,Xanthobacter
OB29,Epibacterium
OB29,Halocynthiibacter
OB29,Planktomarina
OB29,Shimia
OB29,Thauera
OB29,Reyranella
OB29,Occidentia
OB29,Aureispira
OB29,Pelosinus
OB29,Altererythrobacter
OB29,Erythrobacter
OB29,Novosphingobium
OB29,Leucothrix
OB29,Thiomicrorhabdus
OB29,Arenimonas
OB29,Actinomarinicola
OB29,Ilumatobacter
OB29,Aeromonas
OB29,Colwellia
OB29,Psychrobium
OB29,Psychromonas
OB29,Arenicella
OB29,Halobacteriovorax
OB29,Alistipes
OB29,Bacteroides
OB29,Acidovorax
OB29,Herbaspirillum
OB29,Hydrogenophaga
OB29,Polaromonas
OB29,Polynucleobacter
OB29,Ralstonia
OB29,Rhizobacter
OB29,Sphaerotilus
OB29,Sulfurovum
OB29,Hellea
OB29,Haliea
OB29,Halioglobus
OB29,Luminiphilus
OB29,Marimicrobium
OB29,Oceanicoccus
OB29,Porticoccus
OB29,Sediminibacterium
OB29,Chlorophyta
OB29,Cryptomonadaceae
OB29,Woeseia
OB29,Clostridium XlVa
OB29,Clostridium sensu stricto
OB29,Intestinibacillus
OB29,Lacrimispora
OB29,Proteocatella
OB29,Schaedlerella
OB29,Sedimentibacter
OB29,Tissierella
OB29,Aquirufa
OB29,Aureibacter
OB29,Fulvivirga
OB29,Deferrisoma
OB29,Desulfatiglans
OB29,Desulfobulbus
OB29,Desulfoconvexum
OB29,Desulfopila
OB29,Desulfosarcina
OB29,Desulfotalea
OB29,Pelobacter
OB29,Emcibacter
OB29,GpIIa
OB29,GpXIII
OB29,Brumimicrobium
OB29,Crocinitomix
OB29,Flavicella
OB29,Fluviicola
OB29,Formosa
OB29,Lutibacter
OB29,Lutimonas
OB29,Maribacter
OB29,Owenweeksia
OB29,Phaeocystidibacter
OB29,Polaribacter
OB29,Tenacibaculum
OB29,Ulvibacter
OB29,Wenyingzhuangia
OB29,Winogradskyella
OB29,Psychrilyobacter
OB29,Gp10
OB29,Gp22
OB29,Gp6
OB29,Kiritimatiella
OB29,Latescibacteria_genera_incertae_sedis
OB29,Aquicella
OB29,Diplorickettsia
OB29,Lentisphaera
OB29,Mariprofundus
OB29,Mycobacterium
OB29,Vogesella
OB29,Methylotenera
OB29,Pseudobacteriovorax
OB29,Oligosphaera
OB29,Pacearchaeota Incertae Sedis AR13
OB29,Rubripirellula
OB29,Fimbriiglobus
OB29,Gimesia
OB29,Planctomicrobium
OB29,Zavarzinella
OB29,Nocardioides
OB29,Acinetobacter
OB29,Pseudomonas
OB29,Coraliomargarita
OB29,Pelagicoccus
OB29,Ruficoccus
OB29,Bradyrhizobium
OB29,Kaistia
OB29,Pseudahrensia
OB29,Cypionkella
OB29,Litoreibacter
OB29,Octadecabacter
OB29,Roseovarius
