SampleType,Genus
OB11,Halobacteriovorax
OB11,Odoribacter
OB11,Parabacteroides
OB11,Phocaeicola
OB11,Hydrogenophaga
OB11,Ralstonia
OB11,Chlorophyta
OB11,Cryptomonadaceae
OB11,Flintibacter
OB11,Mucispirillum
OB11,Algibacter
OB11,Ulvibacter
OB11,Carnobacterium
OB11,Mycobacterium
OB11,Pseudomonas
OB11,Pseudahrensia
OB11,Sulfitobacter
OB11,Ilumatobacter
OB11,Colwellia
OB11,Paraglaciecola
OB11,Alistipes
OB11,Algimonas
OB11,Hellea
OB11,Eionea
OB11,Halioglobus
OB11,Luminiphilus
OB11,Marimicrobium
OB11,Oceanicoccus
OB11,Porticoccus
OB11,Sediminibacterium
OB11,Bacillariophyta
OB11,Woeseia
OB11,Hungatella
OB11,Kineothrix
OB11,Monoglobus
OB11,Emcibacter
OB11,GpIIa
OB11,GpXIII
OB11,Flavicella
OB11,Formosa
OB11,Phaeocystidibacter
OB11,Polaribacter
OB11,Pseudofulvibacter
OB11,Tenacibaculum
OB11,Vicingus
OB11,Rhodoluna
OB11,Povalibacter
OB11,Nitrosopumilus
OB11,Nitrospina
OB11,Marinomonas
OB11,Pseudohongiella
OB11,Mariniblastus
OB11,Coraliomargarita
OB11,Ruficoccus
OB11,Bradyrhizobium
OB11,Lentilitoribacter
OB11,Amylibacter
OB11,Litoreibacter
OB11,Octadecabacter
OB11,Candidatus Pelagibacter
OB11,Flavilitoribacter
OB11,Sphingomonas
OB12,Ilumatobacter
OB12,Colwellia
OB12,Paraglaciecola
OB12,Alistipes
OB12,Algimonas
OB12,Hellea
OB12,Eionea
OB12,Halioglobus
OB12,Luminiphilus
OB12,Marimicrobium
OB12,Oceanicoccus
OB12,Porticoccus
OB12,Sediminibacterium
OB12,Bacillariophyta
OB12,Woeseia
OB12,Hungatella
OB12,Kineothrix
OB12,Monoglobus
OB12,Emcibacter
OB12,GpIIa
OB12,GpXIII
OB12,Flavicella
OB12,Formosa
OB12,Phaeocystidibacter
OB12,Polaribacter
OB12,Pseudofulvibacter
OB12,Tenacibaculum
OB12,Vicingus
OB12,Rhodoluna
OB12,Povalibacter
OB12,Nitrosopumilus
OB12,Nitrospina
OB12,Marinomonas
OB12,Pseudohongiella
OB12,Mariniblastus
OB12,Coraliomargarita
OB12,Ruficoccus
OB12,Bradyrhizobium
OB12,Lentilitoribacter
OB12,Amylibacter
OB12,Litoreibacter
OB12,Octadecabacter
OB12,Candidatus Pelagibacter
OB12,Flavilitoribacter
OB12,Sphingomonas
