SampleType,Genus
OB40,Phascolarctobacterium
OB40,Aeromonas
OB40,Psychrobium
OB40,Thalassotalea
OB40,Paludibacter
OB40,Saccharicrinis
OB40,Aquabacterium
OB40,Comamonas
OB40,Duganella
OB40,Malikia
OB40,Rhizobacter
OB40,Simplicispira
OB40,Aliarcobacter
OB40,Terrimonas
OB40,Granulosicoccus
OB40,Clostridium XlVa
OB40,Clostridium sensu stricto
OB40,Eisenbergiella
OB40,Lacrimispora
OB40,Sedimentibacter
OB40,Tissierella
OB40,Lacihabitans
OB40,Enterobacter
OB40,Faecalibacillus
OB40,Aquimarina
OB40,Maribacter
OB40,Propionigenium
OB40,Micrococcus
OB40,Cutibacterium
OB40,Agitococcus
OB40,Methylocystis
OB40,Rhodopseudomonas
OB40,Shinella
OB40,Rickettsia
OB40,Selenomonas
OB40,Pedobacter
OB40,Leucothrix
OB40,Akkermansia
OB40,Stenotrophomonas
OB40,Moritella
OB40,Paenibacillus
OB40,Odoribacter
OB40,Prolixibacter
OB40,Vampirovibrio
OB40,Curvibacter
OB40,Undibacterium
OB40,Ferruginibacter
OB40,Colidextribacter
OB40,Coprococcus
OB40,Dorea
OB40,Flintibacter
OB40,Fusibacter
OB40,Mediterraneibacter
OB40,Geobacter
OB40,Massilimicrobiota
OB40,GpXIII
OB40,Algibacter
OB40,Cloacibacterium
OB40,Hypnocyclicus
OB40,Kordiimonas
OB40,Enterococcus
OB40,Trichococcus
OB40,Latescibacteria_genera_incertae_sedis
OB40,Aquicella
OB40,Blastopirellula
OB40,Rhodopirellula
OB40,Singulisphaera
OB40,Hyphomicrobium
OB40,Rhizobium
OB40,Halocynthiibacter
OB40,Acidocella
OB40,Anaerohalosphaera
OB40,Daejeonella
OB40,Mucilaginibacter
OB40,Luteitalea
OB42,Moritella
OB42,Paenibacillus
OB42,Odoribacter
OB42,Prolixibacter
OB42,Vampirovibrio
OB42,Curvibacter
OB42,Undibacterium
OB42,Ferruginibacter
OB42,Colidextribacter
OB42,Coprococcus
OB42,Dorea
OB42,Flintibacter
OB42,Fusibacter
OB42,Mediterraneibacter
OB42,Geobacter
OB42,Massilimicrobiota
OB42,GpXIII
OB42,Algibacter
OB42,Cloacibacterium
OB42,Hypnocyclicus
OB42,Kordiimonas
OB42,Enterococcus
OB42,Trichococcus
OB42,Latescibacteria_genera_incertae_sedis
OB42,Aquicella
OB42,Blastopirellula
OB42,Rhodopirellula
OB42,Singulisphaera
OB42,Hyphomicrobium
OB42,Rhizobium
OB42,Halocynthiibacter
OB42,Acidocella
OB42,Anaerohalosphaera
OB42,Daejeonella
OB42,Mucilaginibacter
OB42,Luteitalea
OB41,Tolumonas
OB41,Aliiglaciecola
OB41,Ferrimonas
OB41,Paramoritella
OB41,Atribacteria_genera_incertae_sedis
OB41,Alistipes
OB41,Parabacteroides
OB41,Prevotellamassilia
OB41,Roseimarinus
OB41,Bradymonas
OB41,Hydromonas
OB41,Rhodoferax
OB41,Sulfurovum
OB41,Haliea
OB41,Wenzhouxiangella
OB41,Butyricicoccus
OB41,Enterocloster
OB41,Gemmiger
OB41,Neglecta
OB41,Collinsella
OB41,Desulfobulbus
OB41,Desulforhopalus
OB41,Desulfosarcina
OB41,Clostridium XVIII
OB41,Holdemanella
OB41,Lacinutrix
OB41,Taeania
OB41,Ulvibacter
OB41,Wenyingzhuangia
OB41,Cetobacterium
OB41,Gemmatimonas
OB41,Catellicoccus
OB41,Lentisphaera
OB41,Cryobacterium
OB41,Microbacterium
OB41,Defluviitoga
OB41,Phycisphaera
OB41,Tundrisphaera
OB41,Hoeflea
OB41,Methylobacterium
OB41,Parvibaculum
OB41,Pedomicrobium
OB41,Amaricoccus
OB41,Planktomarina
OB41,Rubellimicrobium
OB41,Thalassobius
OB41,Occidentia
OB41,Altererythrobacter
OB41,Cloacibacillus
OB41,Terrimicrobium
OB41,Dialister
OB41,Luteolibacter
OB41,Vibrio
OB41,Pseudoalteromonas
OB41,Halobacteriovorax
OB41,Noviherbaspirillum
OB41,Pseudarcobacter
OB41,Clostridium IV
OB41,Fusicatenibacter
OB41,Schaedlerella
OB41,Phaeocystidibacter
OB41,Geothrix
OB41,Leucobacter
OB41,Beijerinckia
OB41,Xanthobacter
OB41,Reyranella
OB41,Thalassobaculum
OB41,Megamonas
OB41,Pelosinus
OB41,Novosphingobium
OB41,Arenimonas
OB40,Pseudoalteromonas
OB40,Halobacteriovorax
OB40,Noviherbaspirillum
