SampleType,Genus
Flukeprint_OB32,Actinomarinicola
Flukeprint_OB32,Ilumatobacter
Flukeprint_OB32,Colwellia
Flukeprint_OB32,Psychromonas
Flukeprint_OB32,Anaeroplasma
Flukeprint_OB32,Arenicella
Flukeprint_OB32,Geofilum
Flukeprint_OB32,Odoribacter
Flukeprint_OB32,Petrimonas
Flukeprint_OB32,Prevotellamassilia
Flukeprint_OB32,Aquabacterium
Flukeprint_OB32,Bordetella
Flukeprint_OB32,Comamonas
Flukeprint_OB32,Hydrogenophaga
Flukeprint_OB32,Polaromonas
Flukeprint_OB32,Polynucleobacter
Flukeprint_OB32,Poseidonibacter
Flukeprint_OB32,Pseudarcobacter
Flukeprint_OB32,Candidatus Hydrogenedens
Flukeprint_OB32,Hellea
Flukeprint_OB32,Halioglobus
Flukeprint_OB32,Luminiphilus
Flukeprint_OB32,Marimicrobium
Flukeprint_OB32,Porticoccus
Flukeprint_OB32,Sediminibacterium
Flukeprint_OB32,Chlorophyta
Flukeprint_OB32,Woeseia
Flukeprint_OB32,Eisenbergiella
Flukeprint_OB32,Romboutsia
Flukeprint_OB32,Coprothermobacter
Flukeprint_OB32,Aquirufa
Flukeprint_OB32,Mucispirillum
Flukeprint_OB32,Desulfovibrio
Flukeprint_OB32,Emcibacter
Flukeprint_OB32,Enterobacter
Flukeprint_OB32,Cellulophaga
Flukeprint_OB32,Crocinitomix
Flukeprint_OB32,Flavobacterium
Flukeprint_OB32,Formosa
Flukeprint_OB32,Lutibacter
Flukeprint_OB32,Lutimonas
Flukeprint_OB32,Owenweeksia
Flukeprint_OB32,Polaribacter
Flukeprint_OB32,Pseudofulvibacter
Flukeprint_OB32,Tenacibaculum
Flukeprint_OB32,Ulvibacter
Flukeprint_OB32,Vicingus
Flukeprint_OB32,Wenyingzhuangia
Flukeprint_OB32,Winogradskyella
Flukeprint_OB32,Fusobacterium
Flukeprint_OB32,Gp5
Flukeprint_OB32,Coxiella
Flukeprint_OB32,Marinimicrobia_genera_incertae_sedis
Flukeprint_OB32,Micrococcus
Flukeprint_OB32,Micropepsis
Flukeprint_OB32,Mycobacterium
Flukeprint_OB32,Methylotenera
Flukeprint_OB32,Nitrospina
Flukeprint_OB32,Ketobacter
Flukeprint_OB32,Marinomonas
Flukeprint_OB32,Pseudohongiella
Flukeprint_OB32,Mariniblastus
Flukeprint_OB32,Planctomicrobium
Flukeprint_OB32,Singulisphaera
Flukeprint_OB32,Pelagicoccus
Flukeprint_OB32,Anderseniella
Flukeprint_OB32,Bradyrhizobium
Flukeprint_OB32,Lentilitoribacter
Flukeprint_OB32,Pseudahrensia
Flukeprint_OB32,Litoreibacter
Flukeprint_OB32,Loktanella
Flukeprint_OB32,Nisaea
Flukeprint_OB32,Varunaivibrio
Flukeprint_OB32,Roseithermus
Flukeprint_OB32,Occidentia
Flukeprint_OB32,Flavilitoribacter
Flukeprint_OB32,Subdivision3_genera_incertae_sedis
Flukeprint_OB32,Leucothrix
Flukeprint_OB32,Rubritalea
Flukeprint_OB32,Aliivibrio
Flukeprint_OB32,Woesearchaeota Incertae Sedis AR16
Seawater Control_OB34,Bifidobacterium
Seawater Control_OB34,Clostridium sensu stricto
Seawater Control_OB34,Intestinimonas
Seawater Control_OB34,Kineothrix
Seawater Control_OB34,Phocea
Seawater Control_OB34,Schaedlerella
Seawater Control_OB34,Dubosiella
Seawater Control_OB34,GpXIII
Seawater Control_OB34,Metabacillus
Seawater Control_OB34,Bacteroides
Seawater Control_OB34,Duncaniella
Seawater Control_OB34,Muribaculum
Seawater Control_OB34,Parabacteroides
Seawater Control_OB34,Phocaeicola
Seawater Control_OB34,Parasutterella
Seawater Control_OB34,Bacillariophyta
Seawater Control_OB34,Cryptomonadaceae
Seawater Control_OB34,Anaerotignum
Seawater Control_OB34,Clostridioides
Seawater Control_OB34,Enterocloster
Seawater Control_OB34,Flintibacter
Seawater Control_OB34,Hungatella
Seawater Control_OB34,Adlercreutzia
Seawater Control_OB34,Massilimicrobiota
Seawater Control_OB34,Turicibacter
Seawater Control_OB34,GpIIa
Seawater Control_OB34,Lactobacillus
Seawater Control_OB34,Ligilactobacillus
Seawater Control_OB34,Nitrosopumilus
Seawater Control_OB34,Amylibacter
Seawater Control_OB34,Sulfitobacter
Seawater Control_OB34,Candidatus Pelagibacter
Seawater Control_OB34,Akkermansia
Seawater Control_OB34,Stenotrophomonas
Flukeprint_OB32,Metabacillus
Flukeprint_OB32,Bacteroides
Flukeprint_OB32,Duncaniella
Flukeprint_OB32,Muribaculum
Flukeprint_OB32,Parabacteroides
Flukeprint_OB32,Phocaeicola
Flukeprint_OB32,Parasutterella
Flukeprint_OB32,Bacillariophyta
Flukeprint_OB32,Cryptomonadaceae
Flukeprint_OB32,Anaerotignum
Flukeprint_OB32,Clostridioides
Flukeprint_OB32,Enterocloster
Flukeprint_OB32,Flintibacter
Flukeprint_OB32,Hungatella
Flukeprint_OB32,Adlercreutzia
Flukeprint_OB32,Massilimicrobiota
Flukeprint_OB32,Turicibacter
Flukeprint_OB32,GpIIa
Flukeprint_OB32,Lactobacillus
Flukeprint_OB32,Ligilactobacillus
Flukeprint_OB32,Nitrosopumilus
Flukeprint_OB32,Amylibacter
Flukeprint_OB32,Sulfitobacter
Flukeprint_OB32,Candidatus Pelagibacter
Flukeprint_OB32,Akkermansia
Flukeprint_OB32,Stenotrophomonas
