SampleType,Genus
OB33,Tissierella
OB33,Aquimarina
OB33,Bizionia
OB33,Phaeocystidibacter
OB33,Gp10
OB33,Streptococcus
OB33,Aquicella
OB33,Neptunomonas
OB33,Blastopirellula
OB33,Bauldia
OB33,Hoeflea
OB33,Sphingomonas
OB33,Cysteiniphilum
OB33,Rhodanobacter
OB33,Prevotellamassilia
OB33,Bordetella
OB33,Enterobacter
OB33,Cellulophaga
OB33,Lutibacter
OB33,Gp5
OB33,Anderseniella
OB33,Lentilitoribacter
OB31,Prevotellamassilia
OB31,Bordetella
OB31,Enterobacter
OB31,Cellulophaga
OB31,Lutibacter
OB31,Gp5
OB31,Anderseniella
OB31,Lentilitoribacter
OB31,Ilumatobacter
OB31,Psychromonas
OB31,Hydrogenophaga
OB31,Poseidonibacter
OB31,Hellea
OB31,Halioglobus
OB31,Marimicrobium
OB31,Porticoccus
OB31,Sediminibacterium
OB31,Romboutsia
OB31,Emcibacter
OB31,Crocinitomix
OB31,Lutimonas
OB31,Owenweeksia
OB31,Ulvibacter
OB31,Vicingus
OB31,Wenyingzhuangia
OB31,Winogradskyella
OB31,Fusobacterium
OB31,Micropepsis
OB31,Methylotenera
OB31,Marinomonas
OB31,Planctomicrobium
OB31,Singulisphaera
OB31,Pelagicoccus
OB31,Litoreibacter
OB31,Sulfitobacter
OB31,Varunaivibrio
OB31,Roseithermus
OB31,Flavilitoribacter
OB32,Ilumatobacter
OB32,Psychromonas
OB32,Hydrogenophaga
OB32,Poseidonibacter
OB32,Hellea
OB32,Halioglobus
OB32,Marimicrobium
OB32,Porticoccus
OB32,Sediminibacterium
OB32,Romboutsia
OB32,Emcibacter
OB32,Crocinitomix
OB32,Lutimonas
OB32,Owenweeksia
OB32,Ulvibacter
OB32,Vicingus
OB32,Wenyingzhuangia
OB32,Winogradskyella
OB32,Fusobacterium
OB32,Micropepsis
OB32,Methylotenera
OB32,Marinomonas
OB32,Planctomicrobium
OB32,Singulisphaera
OB32,Pelagicoccus
OB32,Litoreibacter
OB32,Sulfitobacter
OB32,Varunaivibrio
OB32,Roseithermus
OB32,Flavilitoribacter
OB33,Ilumatobacter
OB33,Psychromonas
OB33,Hydrogenophaga
OB33,Poseidonibacter
OB33,Hellea
OB33,Halioglobus
OB33,Marimicrobium
OB33,Porticoccus
OB33,Sediminibacterium
OB33,Romboutsia
OB33,Emcibacter
OB33,Crocinitomix
OB33,Lutimonas
OB33,Owenweeksia
OB33,Ulvibacter
OB33,Vicingus
OB33,Wenyingzhuangia
OB33,Winogradskyella
OB33,Fusobacterium
OB33,Micropepsis
OB33,Methylotenera
OB33,Marinomonas
OB33,Planctomicrobium
OB33,Singulisphaera
OB33,Pelagicoccus
OB33,Litoreibacter
OB33,Sulfitobacter
OB33,Varunaivibrio
OB33,Roseithermus
OB33,Flavilitoribacter
