OTU_ID,OB05_CA122A2,OB08_CA10,OB11_CA58A1,OB13_CA50B,OB18_CA51A3A,OB21_CA51A3,OB23_T046B4,OB25_T037A2,OB26_T037,OB29_T068C1,OB31_T023D3,OB32_T073A2,OB33_T073A1,OB35_T101B,OB37_T100F,FP_T101A_M_BC_OA,OB40_T060D,OB41_T060E
Zotu2789,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,0,0
Zotu2797,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2798,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2801,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2802,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2804,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2815,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Zotu2817,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Zotu2823,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Zotu2824,0,0,0,0,0,0,0,0,0,10,0,3,0,4,5,0,0,0
Zotu283,19,87,0,0,0,0,7,11,5,306,3,0,0,0,80,40,40,101
Zotu2831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Zotu2833,0,0,0,0,0,0,0,0,0,6,6,4,0,0,7,0,0,0
Zotu2834,0,0,0,0,0,0,0,0,0,3,12,0,0,3,3,0,0,0
Zotu2836,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
Zotu2848,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,4,3
Zotu2849,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Zotu2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Zotu2858,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0
Zotu2861,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2863,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zotu2876,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2878,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,5
Zotu2880,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0
Zotu2885,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,5,0
Zotu2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Zotu2890,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Zotu2893,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3
Zotu2896,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Zotu2899,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4
Zotu290,0,0,0,0,0,8,128,175,30,180,22,31,38,56,30,28,24,69
