SampleType,Genus
Seawater Control,Aminipila
Seawater Control,Anaerostipes
Seawater Control,Anaerotignum
Seawater Control,Clostridioides
Seawater Control,Colidextribacter
Seawater Control,Coprococcus
Seawater Control,Dorea
Seawater Control,Dysosmobacter
Seawater Control,Eisenbergiella
Seawater Control,Enterocloster
Seawater Control,Flintibacter
Seawater Control,Fusicatenibacter
Seawater Control,Gemmiger
Seawater Control,Intestinibacillus
Seawater Control,Intestinimonas
Seawater Control,Kineothrix
Seawater Control,Lachnospira
Seawater Control,Lachnospiracea_incertae_sedis
Seawater Control,Lacrimispora
Seawater Control,Mediterraneibacter
Seawater Control,Peptacetobacter
Seawater Control,Phocea
Seawater Control,Romboutsia
Seawater Control,Roseburia
Seawater Control,Ruminococcus2
Seawater Control,Schaedlerella
Seawater Control,Sedimentibacter
Seawater Control,Syntrophomonas
Seawater Control,Tissierella
Seawater Control,Coprothermobacter
Seawater Control,Collinsella
Seawater Control,Dyadobacter
Seawater Control,Emticicia
Seawater Control,Fulvivirga
Seawater Control,Lacihabitans
Seawater Control,Mucispirillum
Seawater Control,Desulfobulbus
Seawater Control,Desulfopila
Seawater Control,Desulfosarcina
Seawater Control,Desulfotalea
Seawater Control,Desulfovibrio
Seawater Control,Geobacter
Seawater Control,Pelobacter
Seawater Control,Adlercreutzia
Seawater Control,Emcibacter
Seawater Control,Enterobacter
Seawater Control,Catenibacterium
Seawater Control,Clostridium XVIII
Seawater Control,Dubosiella
Seawater Control,Erysipelatoclostridium
Seawater Control,Faecalibacillus
Seawater Control,Holdemanella
Seawater Control,Massilimicrobiota
Seawater Control,Turicibacter
Seawater Control,Prochlorococcus
Seawater Control,GpXIII
Seawater Control,Algibacter
Seawater Control,Aquimarina
Seawater Control,Brumimicrobium
Seawater Control,Chryseobacterium
Seawater Control,Cloacibacterium
Seawater Control,Flavicella
Seawater Control,Gaetbulibacter
Seawater Control,Maribacter
Seawater Control,Owenweeksia
Seawater Control,Phaeocystidibacter
Seawater Control,Ulvibacter
Seawater Control,Wenyingzhuangia
Seawater Control,Winogradskyella
Seawater Control,Jatrophihabitans
Seawater Control,Cetobacterium
Seawater Control,Hypnocyclicus
Seawater Control,Psychrilyobacter
Seawater Control,Gemmatimonas
Seawater Control,Gp22
Seawater Control,Gp23
Seawater Control,Gp5
Seawater Control,Geothrix
Seawater Control,Ignavibacterium
Seawater Control,Kiritimatiella
Seawater Control,Catellicoccus
Seawater Control,Lactobacillus
Seawater Control,Lactococcus
Seawater Control,Ligilactobacillus
Seawater Control,Streptococcus
Seawater Control,Trichococcus
Seawater Control,Latescibacteria_genera_incertae_sedis
Seawater Control,Aquicella
Seawater Control,Mariprofundus
Seawater Control,Aurantimicrobium
Seawater Control,Leucobacter
Seawater Control,Microbacterium
Seawater Control,Micrococcus
Seawater Control,Plesiocystis
Seawater Control,Rivicola
Seawater Control,Georgfuchsia
Seawater Control,Methylotenera
Seawater Control,Nitrosospira
Seawater Control,Thiobacillus
Seawater Control,Nitrospira
Seawater Control,Marinomonas
Seawater Control,Spongiispira
Seawater Control,Pseudobacteriovorax
Seawater Control,Cephaloticoccus
Seawater Control,Lacunisphaera
Seawater Control,Oleiharenicola
Seawater Control,Defluviitoga
Seawater Control,Blastopirellula
Seawater Control,Rhodopirellula
Seawater Control,Rubripirellula
Seawater Control,Gimesia
Seawater Control,Planctomicrobium
Seawater Control,Schlesneria
Seawater Control,Singulisphaera
Seawater Control,Zea
Seawater Control,Cutibacterium
Seawater Control,Psychrobacter
Seawater Control,Pelagicoccus
Seawater Control,Ruficoccus
Seawater Control,Allorhizobium
Seawater Control,Beijerinckia
Seawater Control,Bradyrhizobium
Seawater Control,Devosia
Seawater Control,Hoeflea
Seawater Control,Hyphomicrobium
Seawater Control,Lentilitoribacter
Seawater Control,Parvibaculum
Seawater Control,Pedomicrobium
Seawater Control,Pseudahrensia
Seawater Control,Pseudolabrys
Seawater Control,Rhizobium
Seawater Control,Xanthobacter
Seawater Control,Amylibacter
Seawater Control,Celeribacter
Seawater Control,Cypionkella
Seawater Control,Halocynthiibacter
Seawater Control,Nereida
Seawater Control,Octadecabacter
Seawater Control,Roseovarius
Seawater Control,Thalassobius
Seawater Control,Ferribacterium
Seawater Control,Acidocella
Seawater Control,Rhodovarius
Seawater Control,Thalassobaculum
Seawater Control,Varunaivibrio
Seawater Control,Roseithermus
Seawater Control,Occidentia
Seawater Control,Rickettsia
Seawater Control,Saccharibacteria_genera_incertae_sedis
Seawater Control,Anaerohalosphaera
Seawater Control,Anaerosinus
Seawater Control,Megamonas
Seawater Control,Pelosinus
Seawater Control,Selenomonas
Seawater Control,Spartobacteria_genera_incertae_sedis
Seawater Control,Mucilaginibacter
Seawater Control,Erythrobacter
Seawater Control,Sphingobium
Seawater Control,Longivirga
Seawater Control,Acetomicrobium
Seawater Control,Cysteiniphilum
Seawater Control,Thiothrix
Seawater Control,Dialister
Seawater Control,Luteolibacter
Seawater Control,Aliivibrio
Seawater Control,Photobacterium
Seawater Control,Vibrio
Seawater Control,Arenimonas
Seawater Control,Stenotrophomonas
Flukeprint,Phascolarctobacterium
Flukeprint,Actinomarinicola
Flukeprint,Aeromonas
Flukeprint,Tolumonas
Flukeprint,Moritella
Flukeprint,Paraglaciecola
Flukeprint,Paramoritella
Flukeprint,Psychrobium
Flukeprint,Thalassotalea
Flukeprint,Armatimonas/Armatimonadetes_gp1
Flukeprint,Atribacteria_genera_incertae_sedis
Flukeprint,Lysinibacillus
Flukeprint,Metabacillus
Flukeprint,Paenibacillus
Flukeprint,Ancylomarina
Flukeprint,Barnesiella
Flukeprint,Muribaculum
Flukeprint,Odoribacter
Flukeprint,Paludibacter
Flukeprint,Prevotellamassilia
Flukeprint,Vampirovibrio
Flukeprint,Bordetella
Flukeprint,Comamonas
Flukeprint,Curvibacter
Flukeprint,Duganella
Flukeprint,Herbaspirillum
Flukeprint,Janthinobacterium
Flukeprint,Malikia
Flukeprint,Parasutterella
Flukeprint,Ralstonia
Flukeprint,Rhodoferax
Flukeprint,Simplicispira
Flukeprint,Sphaerotilus
Flukeprint,Tepidimonas
Flukeprint,Aliarcobacter
Flukeprint,Poseidonibacter
Flukeprint,Pseudarcobacter
Flukeprint,Sulfurovum
Flukeprint,Asprobacter
Flukeprint,Caulobacter
Flukeprint,Hellea
Flukeprint,Phenylobacterium
Flukeprint,Cellvibrio
Flukeprint,Eionea
Flukeprint,Halioglobus
Flukeprint,Marimicrobium
Flukeprint,Oceanicoccus
Flukeprint,Porticoccus
Flukeprint,Flavitalea
Flukeprint,Streptophyta
Flukeprint,Acetobacterium
Flukeprint,Aminipila
Flukeprint,Anaerostipes
Flukeprint,Anaerotignum
Flukeprint,Clostridioides
Flukeprint,Colidextribacter
Flukeprint,Coprococcus
Flukeprint,Dorea
Flukeprint,Dysosmobacter
Flukeprint,Eisenbergiella
Flukeprint,Enterocloster
Flukeprint,Flintibacter
Flukeprint,Fusicatenibacter
Flukeprint,Gemmiger
Flukeprint,Intestinibacillus
Flukeprint,Intestinimonas
Flukeprint,Kineothrix
Flukeprint,Lachnospira
Flukeprint,Lachnospiracea_incertae_sedis
Flukeprint,Lacrimispora
Flukeprint,Mediterraneibacter
Flukeprint,Peptacetobacter
Flukeprint,Phocea
Flukeprint,Romboutsia
Flukeprint,Roseburia
Flukeprint,Ruminococcus2
Flukeprint,Schaedlerella
Flukeprint,Sedimentibacter
Flukeprint,Syntrophomonas
Flukeprint,Tissierella
Flukeprint,Coprothermobacter
Flukeprint,Collinsella
Flukeprint,Dyadobacter
Flukeprint,Emticicia
Flukeprint,Fulvivirga
Flukeprint,Lacihabitans
Flukeprint,Mucispirillum
Flukeprint,Desulfobulbus
Flukeprint,Desulfopila
Flukeprint,Desulfosarcina
Flukeprint,Desulfotalea
Flukeprint,Desulfovibrio
Flukeprint,Geobacter
Flukeprint,Pelobacter
Flukeprint,Adlercreutzia
Flukeprint,Emcibacter
Flukeprint,Enterobacter
Flukeprint,Catenibacterium
Flukeprint,Clostridium XVIII
Flukeprint,Dubosiella
Flukeprint,Erysipelatoclostridium
Flukeprint,Faecalibacillus
Flukeprint,Holdemanella
Flukeprint,Massilimicrobiota
Flukeprint,Turicibacter
Flukeprint,Prochlorococcus
Flukeprint,GpXIII
Flukeprint,Algibacter
Flukeprint,Aquimarina
Flukeprint,Brumimicrobium
Flukeprint,Chryseobacterium
Flukeprint,Cloacibacterium
Flukeprint,Flavicella
Flukeprint,Gaetbulibacter
Flukeprint,Maribacter
Flukeprint,Owenweeksia
Flukeprint,Phaeocystidibacter
Flukeprint,Ulvibacter
Flukeprint,Wenyingzhuangia
Flukeprint,Winogradskyella
Flukeprint,Jatrophihabitans
Flukeprint,Cetobacterium
Flukeprint,Hypnocyclicus
Flukeprint,Psychrilyobacter
Flukeprint,Gemmatimonas
Flukeprint,Gp22
Flukeprint,Gp23
Flukeprint,Gp5
Flukeprint,Geothrix
Flukeprint,Ignavibacterium
Flukeprint,Kiritimatiella
Flukeprint,Catellicoccus
Flukeprint,Lactobacillus
Flukeprint,Lactococcus
Flukeprint,Ligilactobacillus
Flukeprint,Streptococcus
Flukeprint,Trichococcus
