SampleType,Genus
OB05,Parasutterella
OB05,Ralstonia
OB05,Eionea
OB05,Cryptomonadaceae
OB05,Enterocloster
OB05,Intestinibacillus
OB05,Schaedlerella
OB05,Marinimicrobia_genera_incertae_sedis
OB05,Actinobacillus
OB05,Pseudomonas
OB05,Sphingomonas
OB05,Vibrio
OB05,Ilumatobacter
OB05,Alistipes
OB05,Duncaniella
OB05,Rhizobacter
OB05,Hellea
OB05,Halioglobus
OB05,Luminiphilus
OB05,Marimicrobium
OB05,Porticoccus
OB05,Bacillariophyta
OB05,Chlorophyta
OB05,Woeseia
OB05,Acetivibrio
OB05,Blautia
OB05,Lacrimispora
OB05,Romboutsia
OB05,Tissierella
OB05,Enterobacter
OB05,GpIIa
OB05,GpXIII
OB05,Flavicella
OB05,Formosa
OB05,Phaeocystidibacter
OB05,Polaribacter
OB05,Pseudofulvibacter
OB05,Tenacibaculum
OB05,Candidatus Carsonella
OB05,Gp25
OB05,Lentisphaera
OB05,Mycobacterium
OB05,Nitrosopumilus
OB05,Nitrospina
OB05,Pseudohongiella
OB05,Mariniblastus
OB05,Coraliomargarita
OB05,Ruficoccus
OB05,Amylibacter
OB05,Litoreibacter
OB05,Octadecabacter
OB05,Candidatus Pelagibacter
OB05,Aureispira
OB05,Flavilitoribacter
OB05,Rubritalea
OB07,Ilumatobacter
OB07,Alistipes
OB07,Duncaniella
OB07,Rhizobacter
OB07,Hellea
OB07,Halioglobus
OB07,Luminiphilus
OB07,Marimicrobium
OB07,Porticoccus
OB07,Bacillariophyta
OB07,Chlorophyta
OB07,Woeseia
OB07,Acetivibrio
OB07,Blautia
OB07,Lacrimispora
OB07,Romboutsia
OB07,Tissierella
OB07,Enterobacter
OB07,GpIIa
OB07,GpXIII
OB07,Flavicella
OB07,Formosa
OB07,Phaeocystidibacter
OB07,Polaribacter
OB07,Pseudofulvibacter
OB07,Tenacibaculum
OB07,Candidatus Carsonella
OB07,Gp25
OB07,Lentisphaera
OB07,Mycobacterium
OB07,Nitrosopumilus
OB07,Nitrospina
OB07,Pseudohongiella
OB07,Mariniblastus
OB07,Coraliomargarita
OB07,Ruficoccus
OB07,Amylibacter
OB07,Litoreibacter
OB07,Octadecabacter
OB07,Candidatus Pelagibacter
OB07,Aureispira
OB07,Flavilitoribacter
OB07,Rubritalea
