SampleType,Genus
OB35,Aliiglaciecola
OB35,Ferrimonas
OB35,Shewanella
OB35,Carboxylicivirga
OB35,Fermentimonas
OB35,Labilibaculum
OB35,Tepidimonas
OB35,Flavitalea
OB35,Niastella
OB35,Granulosicoccus
OB35,Aminipila
OB35,Flintibacter
OB35,Hathewaya
OB35,Mediterraneibacter
OB35,Mucispirillum
OB35,Desulfopila
OB35,Enterobacter
OB35,Dokdonia
OB35,Maribacter
OB35,Kiritimatiella
OB35,Cellulomonas
OB35,Cryobacterium
OB35,Anderseniella
OB35,Amaricoccus
OB35,Epibacterium
OB35,Thalassobius
OB35,Acidocella
OB35,Actinoallomurus
OB35,Luteolibacter
OB35,Psychrosphaera
OB35,Armatimonas/Armatimonadetes_gp1
OB35,Lysinibacillus
OB35,Paenibacillus
OB35,Bacteriovorax
OB35,Butyricimonas
OB35,Odoribacter
OB35,Curvibacter
OB35,Haliea
OB35,Colidextribacter
OB35,Phocea
OB35,Dyadobacter
OB35,Geobacter
OB35,Ulvibacter
OB35,Catellicoccus
OB35,Enterococcus
OB35,Streptococcus
OB35,Latescibacteria_genera_incertae_sedis
OB35,Plesiocystis
OB35,Oleiharenicola
OB35,Pacearchaeota Incertae Sedis AR13
OB35,Blastopirellula
OB35,Tundrisphaera
OB35,Allorhizobium
OB35,Rhodopseudomonas
OB35,Thauera
OB35,Anaerosinus
OB35,Daejeonella
OB35,Vibrio
OB35,Stenotrophomonas
OB39,Psychrosphaera
OB39,Armatimonas/Armatimonadetes_gp1
OB39,Lysinibacillus
OB39,Paenibacillus
OB39,Bacteriovorax
OB39,Butyricimonas
OB39,Odoribacter
OB39,Curvibacter
OB39,Haliea
OB39,Colidextribacter
OB39,Phocea
OB39,Dyadobacter
OB39,Geobacter
OB39,Ulvibacter
OB39,Catellicoccus
OB39,Enterococcus
OB39,Streptococcus
OB39,Latescibacteria_genera_incertae_sedis
OB39,Plesiocystis
OB39,Oleiharenicola
OB39,Pacearchaeota Incertae Sedis AR13
OB39,Blastopirellula
OB39,Tundrisphaera
OB39,Allorhizobium
OB39,Rhodopseudomonas
OB39,Thauera
OB39,Anaerosinus
OB39,Daejeonella
OB39,Vibrio
OB39,Stenotrophomonas
OB37,Pseudaeromonas
OB37,Psychrobium
OB37,Bordetella
OB37,Hydromonas
OB37,Candidatus Cloacamonas
OB37,Eionea
OB37,Wenzhouxiangella
OB37,Hungatella
OB37,Kineothrix
OB37,Lacrimispora
OB37,Mogibacterium
OB37,Desulfosarcina
OB37,Actibacter
OB37,Lacinutrix
OB37,Zobellia
OB37,Jatrophihabitans
OB37,Cetobacterium
OB37,Leuconostoc
OB37,Mariprofundus
OB37,Micrococcus
OB37,Pseudarthrobacter
OB37,Gallionella
OB37,Cutibacterium
OB37,Ahrensia
OB37,Roseovarius
OB37,Propionivibrio
OB37,Uliginosibacterium
OB37,Akkermansia
OB37,Luteimonas
OB38,Aeromonas
OB38,Echinimonas
OB38,BRC1_genera_incertae_sedis
OB38,Barnesiella
OB38,Comamonas
OB38,Noviherbaspirillum
OB38,Brevundimonas
OB38,Taibaiella
OB38,Coprococcus
OB38,Eisenbergiella
OB38,Lachnospiracea_incertae_sedis
OB38,Oscillibacter
OB38,Emticicia
OB38,Catenibacterium
OB38,Holdemanella
OB38,Gaetbulibacter
OB38,Gp7
OB38,Lentisphaera
OB38,Subtercola
OB38,Uruburuella
OB38,Thiobacillus
OB38,Pseudobacteriovorax
