SampleType,Genus
OB13,Thalassotalea
OB13,Halobacteriovorax
OB13,Phocaeicola
OB13,Bordetella
OB13,Eionea
OB13,Sediminibacterium
OB13,Enterocloster
OB13,Romboutsia
OB13,Flavicella
OB13,Carnobacterium
OB13,Mycobacterium
OB13,Singulisphaera
OB13,Pseudomonas
OB13,Octadecabacter
OB13,Sphingomonas
OB13,Rubritalea
OB13,Ilumatobacter
OB13,Agarivorans
OB13,Paramoritella
OB13,Psychromonas
OB13,Ralstonia
OB13,Hellea
OB13,Halioglobus
OB13,Luminiphilus
OB13,Marimicrobium
OB13,Porticoccus
OB13,Bacillariophyta
OB13,Chlorophyta
OB13,Cryptomonadaceae
OB13,Woeseia
OB13,Hungatella
OB13,Lacrimispora
OB13,Tissierella
OB13,Pelobacter
OB13,Emcibacter
OB13,GpIIa
OB13,Prochlorococcus
OB13,GpXIII
OB13,Brumimicrobium
OB13,Crocinitomix
OB13,Formosa
OB13,Lutibacter
OB13,Lutimonas
OB13,Phaeocystidibacter
OB13,Polaribacter
OB13,Pseudofulvibacter
OB13,Tenacibaculum
OB13,Vicingus
OB13,Winogradskyella
OB13,Coxiella
OB13,Lentisphaera
OB13,Marinimicrobia_genera_incertae_sedis
OB13,Micrococcus
OB13,Nitrosopumilus
OB13,Nitrospina
OB13,Endozoicomonas
OB13,Pseudohongiella
OB13,Mariniblastus
OB13,Psychrobacter
OB13,Coraliomargarita
OB13,Pelagicoccus
OB13,Litoreibacter
OB13,Nereida
OB13,Sulfitobacter
OB13,Varunaivibrio
OB13,Candidatus Pelagibacter
OB13,Aureispira
OB13,Flavilitoribacter
OB13,Subdivision3_genera_incertae_sedis
OB13,Cocleimonas
OB13,Cysteiniphilum
OB13,Francisella
OB13,Aliivibrio
OB13,Vibrio
OB14,Ilumatobacter
OB14,Agarivorans
OB14,Paramoritella
OB14,Psychromonas
OB14,Ralstonia
OB14,Hellea
OB14,Halioglobus
OB14,Luminiphilus
OB14,Marimicrobium
OB14,Porticoccus
OB14,Bacillariophyta
OB14,Chlorophyta
OB14,Cryptomonadaceae
OB14,Woeseia
OB14,Hungatella
OB14,Lacrimispora
OB14,Tissierella
OB14,Pelobacter
OB14,Emcibacter
OB14,GpIIa
OB14,Prochlorococcus
OB14,GpXIII
OB14,Brumimicrobium
OB14,Crocinitomix
OB14,Formosa
OB14,Lutibacter
OB14,Lutimonas
OB14,Phaeocystidibacter
OB14,Polaribacter
OB14,Pseudofulvibacter
OB14,Tenacibaculum
OB14,Vicingus
OB14,Winogradskyella
OB14,Coxiella
OB14,Lentisphaera
OB14,Marinimicrobia_genera_incertae_sedis
OB14,Micrococcus
OB14,Nitrosopumilus
OB14,Nitrospina
OB14,Endozoicomonas
OB14,Pseudohongiella
OB14,Mariniblastus
OB14,Psychrobacter
OB14,Coraliomargarita
OB14,Pelagicoccus
OB14,Litoreibacter
OB14,Nereida
OB14,Sulfitobacter
OB14,Varunaivibrio
OB14,Candidatus Pelagibacter
OB14,Aureispira
OB14,Flavilitoribacter
OB14,Subdivision3_genera_incertae_sedis
OB14,Cocleimonas
OB14,Cysteiniphilum
OB14,Francisella
OB14,Aliivibrio
OB14,Vibrio
