SampleType,Genus
OB21,Ralstonia
OB21,Pelobacter
OB21,Lutimonas
OB21,Fusobacterium
OB21,Gaiella
OB21,Latescibacteria_genera_incertae_sedis
OB21,Pseudonocardia
OB21,Nereida
OB22,Ilumatobacter
OB22,Colwellia
OB22,Paramoritella
OB22,Duncaniella
OB22,Phocaeicola
OB22,Castellaniella
OB22,Hellea
OB22,Luminiphilus
OB22,Marimicrobium
OB22,Porticoccus
OB22,Sediminibacterium
OB22,Bacillariophyta
OB22,Chlorophyta
OB22,Cryptomonadaceae
OB22,Woeseia
OB22,Mediterraneibacter
OB22,Schaedlerella
OB22,Emcibacter
OB22,GpIIa
OB22,Prochlorococcus
OB22,Brumimicrobium
OB22,Crocinitomix
OB22,Formosa
OB22,Phaeocystidibacter
OB22,Polaribacter
OB22,Pseudofulvibacter
OB22,Tenacibaculum
OB22,Ulvibacter
OB22,Vicingus
OB22,Winogradskyella
OB22,Gp23
OB22,Kiritimatiella
OB22,Catellicoccus
OB22,Coxiella
OB22,Lentisphaera
OB22,Limisphaera
OB22,Marinimicrobia_genera_incertae_sedis
OB22,Mycobacterium
OB22,Nitrosopumilus
OB22,Nitrospina
OB22,Pseudohongiella
OB22,Mariniblastus
OB22,Singulisphaera
OB22,Acinetobacter
OB22,Pseudomonas
OB22,Coraliomargarita
OB22,Pelagicoccus
OB22,Bradyrhizobium
OB22,Litoreibacter
OB22,Roseovarius
OB22,Sulfitobacter
OB22,Candidatus Pelagibacter
OB22,Aureispira
OB22,Flavilitoribacter
OB22,Subdivision3_genera_incertae_sedis
OB22,Cysteiniphilum
OB22,Aliivibrio
OB21,Ilumatobacter
OB21,Colwellia
OB21,Paramoritella
OB21,Duncaniella
OB21,Phocaeicola
OB21,Castellaniella
OB21,Hellea
OB21,Luminiphilus
OB21,Marimicrobium
OB21,Porticoccus
OB21,Sediminibacterium
OB21,Bacillariophyta
OB21,Chlorophyta
OB21,Cryptomonadaceae
OB21,Woeseia
OB21,Mediterraneibacter
OB21,Schaedlerella
OB21,Emcibacter
OB21,GpIIa
OB21,Prochlorococcus
OB21,Brumimicrobium
OB21,Crocinitomix
OB21,Formosa
OB21,Phaeocystidibacter
OB21,Polaribacter
OB21,Pseudofulvibacter
OB21,Tenacibaculum
OB21,Ulvibacter
OB21,Vicingus
OB21,Winogradskyella
OB21,Gp23
OB21,Kiritimatiella
OB21,Catellicoccus
OB21,Coxiella
OB21,Lentisphaera
OB21,Limisphaera
OB21,Marinimicrobia_genera_incertae_sedis
OB21,Mycobacterium
OB21,Nitrosopumilus
OB21,Nitrospina
OB21,Pseudohongiella
OB21,Mariniblastus
OB21,Singulisphaera
OB21,Acinetobacter
OB21,Pseudomonas
OB21,Coraliomargarita
OB21,Pelagicoccus
OB21,Bradyrhizobium
OB21,Litoreibacter
OB21,Roseovarius
OB21,Sulfitobacter
OB21,Candidatus Pelagibacter
OB21,Aureispira
OB21,Flavilitoribacter
OB21,Subdivision3_genera_incertae_sedis
OB21,Cysteiniphilum
OB21,Aliivibrio
