SampleType,Genus
OB18,Paenibacillus
OB18,Duncaniella
OB18,Parabacteroides
OB18,Hydrogenophaga
OB18,Blautia
OB18,Neglecta
OB18,Flavicella
OB18,Vicingus
OB18,Streptococcus
OB18,Micrococcus
OB18,Rhodoluna
OB18,Mycobacterium
OB18,Leptospirillum
OB18,Mannheimia
OB18,Mariniblastus
OB18,Coraliomargarita
OB18,Bradyrhizobium
OB18,Sulfitobacter
OB18,Aureispira
OB18,Flavilitoribacter
OB18,Cysteiniphilum
OB18,Akkermansia
OB18,Catenovulum
OB18,Colwellia
OB18,Thalassotalea
OB18,Hellea
OB18,Luminiphilus
OB18,Marimicrobium
OB18,Porticoccus
OB18,Sediminibacterium
OB18,Bacillariophyta
OB18,Chlorophyta
OB18,Cryptomonadaceae
OB18,Woeseia
OB18,Eisenbergiella
OB18,Kineothrix
OB18,Schaedlerella
OB18,Tissierella
OB18,Emcibacter
OB18,Massilimicrobiota
OB18,GpIIa
OB18,GpXIII
OB18,Brumimicrobium
OB18,Crocinitomix
OB18,Formosa
OB18,Phaeocystidibacter
OB18,Polaribacter
OB18,Pseudofulvibacter
OB18,Tenacibaculum
OB18,Winogradskyella
OB18,Weissella
OB18,Coxiella
OB18,Lentisphaera
OB18,Nitrosopumilus
OB18,Nitrospina
OB18,Pseudohongiella
OB18,Cutibacterium
OB18,Moraxella
OB18,Pseudomonas
OB18,Pelagicoccus
OB18,Litoreibacter
OB18,Ruegeria
OB18,Candidatus Pelagibacter
OB18,Aliivibrio
OB18,Photobacterium
OB19,Catenovulum
OB19,Colwellia
OB19,Thalassotalea
OB19,Hellea
OB19,Luminiphilus
OB19,Marimicrobium
OB19,Porticoccus
OB19,Sediminibacterium
OB19,Bacillariophyta
OB19,Chlorophyta
OB19,Cryptomonadaceae
OB19,Woeseia
OB19,Eisenbergiella
OB19,Kineothrix
OB19,Schaedlerella
OB19,Tissierella
OB19,Emcibacter
OB19,Massilimicrobiota
OB19,GpIIa
OB19,GpXIII
OB19,Brumimicrobium
OB19,Crocinitomix
OB19,Formosa
OB19,Phaeocystidibacter
OB19,Polaribacter
OB19,Pseudofulvibacter
OB19,Tenacibaculum
OB19,Winogradskyella
OB19,Weissella
OB19,Coxiella
OB19,Lentisphaera
OB19,Nitrosopumilus
OB19,Nitrospina
OB19,Pseudohongiella
OB19,Cutibacterium
OB19,Moraxella
OB19,Pseudomonas
OB19,Pelagicoccus
OB19,Litoreibacter
OB19,Ruegeria
OB19,Candidatus Pelagibacter
OB19,Aliivibrio
OB19,Photobacterium
