SampleID	Env	SourceSink	id
CA122A2	Flukeprint	Sink	1
OB05_BL	Seawater	Source	1
CA10	Flukeprint	Sink	2
OB08_BL	Seawater	Source	2
CA58A1	Flukeprint	Sink	3
OB11_BL	Seawater	Source	3
CA50B	Flukeprint	Sink	4
OB13_BL	Seawater	Source	4
CA51A3A	Flukeprint	Sink	5
OB18_BL	Seawater	Source	5
CA51A3	Flukeprint	Sink	6
OB21_BL	Seawater	Source	6
