SampleType,Genus
OB08,Pseudoalteromonas
OB08,Lysinibacillus
OB08,Phocaeicola
OB08,Sediminibacterium
OB08,Romboutsia
OB08,Carnobacterium
OB08,Marinimicrobia_genera_incertae_sedis
OB08,Mycobacterium
OB08,Pseudohongiella
OB08,Singulisphaera
OB08,Sphingomonas
OB08,Pleomorphochaeta
OB08,Colwellia
OB08,Barnesiella
OB08,Parabacteroides
OB08,Bordetella
OB08,Hellea
OB08,Halioglobus
OB08,Luminiphilus
OB08,Marimicrobium
OB08,Porticoccus
OB08,Phocea
OB08,GpIIa
OB08,GpXIII
OB08,Crocinitomix
OB08,Phaeocystidibacter
OB08,Polaribacter
OB08,Pseudofulvibacter
OB08,Tenacibaculum
OB08,Vicingus
OB08,Enterococcus
OB08,Lentisphaera
OB08,Neisseria
OB08,Nitrosopumilus
OB08,Pseudomonas
OB08,Coraliomargarita
OB08,Octadecabacter
OB08,Aureispira
OB08,Flavilitoribacter
OB08,Akkermansia
OB08,Rubritalea
OB08,Catenococcus
OB08,Stenotrophomonas
OB09,Colwellia
OB09,Barnesiella
OB09,Parabacteroides
OB09,Bordetella
OB09,Hellea
OB09,Halioglobus
OB09,Luminiphilus
OB09,Marimicrobium
OB09,Porticoccus
OB09,Phocea
OB09,GpIIa
OB09,GpXIII
OB09,Crocinitomix
OB09,Phaeocystidibacter
OB09,Polaribacter
OB09,Pseudofulvibacter
OB09,Tenacibaculum
OB09,Vicingus
OB09,Enterococcus
OB09,Lentisphaera
OB09,Neisseria
OB09,Nitrosopumilus
OB09,Pseudomonas
OB09,Coraliomargarita
OB09,Octadecabacter
OB09,Aureispira
OB09,Flavilitoribacter
OB09,Akkermansia
OB09,Rubritalea
OB09,Catenococcus
OB09,Stenotrophomonas
